name,lat,lng,vert,viewcount2020,viewcount2019,viewcount2018,viewcount2017,viewcount2016,viewcount2015
"Elk Mountain, Utah",38.32056,-112.39167,null,null,null,null,null,null,369
"Nordic Valley, Utah",41.300,-111.8583,null,1421,3048,3370,2968,2309,3000
Park City Mountain Resort,40.65083,-111.50750,3126,22167,45881,48581,47705,51623,43372
Powder Mountain,41.38000,-111.78028,2000,4111,11395,19151,17990,23170,18432
Snowbasin,41.216,-111.857,2959,7258,15803,18634,18668,19463,19258
"Snowbird, Utah",40.58111,-111.65639,3240,22123,44649,52694,48148,53046,41738
Solitude Mountain Resort,40.615139,-111.588917,2500,5085,13255,19828,25712,35361,23274
Sundance Resort,40.392,-111.579,2150,14964,34979,37627,37524,43690,53230
"Shell, Wyoming",44.53556,-107.77917,null,2392,5047,5606,5077,5107,6118
Beartooth Basin Summer Ski Area,null,null,null,null,null,113,1688,2529,2360
Grand Targhee Resort,43.789,-110.957,2454,7601,15435,18126,17725,16439,17220
Hogadon Ski Area,42.7449611,-106.3394278,630,1525,3213,2465,2624,3078,2345
Jackson Hole Mountain Resort,43.59,-110.89,4139,19422,43796,42433,39827,45102,41155
"Ten Sleep, Wyoming",44.03472,-107.44806,null,12642,21758,24191,24168,22356,26713
Pine Creek Ski Area,42.1031083,-110.8287889,1325,541,1242,1592,1475,1435,1316
"Cody, Wyoming",44.52333,-109.05722,null,64173,131447,128297,117917,129364,171337
Snow King Mountain,43.472,-110.761,1571,3620,7933,10351,10080,15244,9498
Snowy Range Ski Area,41.341231,-106.183441,1000,1225,2827,3480,3697,3629,3510
White Pine Ski Resort,42.9778389,-109.7581722,1050,1075,2282,2756,2450,2131,2370
Arctic Valley Ski Area,61.24667,-149.65056,1500,2181,4745,4913,3891,2897,1612
Alyeska Resort,60.96167,-149.08056,2500,9719,23947,24640,22536,23248,18081
Eaglecrest Ski Area,58.27611,-134.51528,1620,1371,2898,3552,3321,3105,4231
Hilltop Ski Area,61.14083,-149.74500,294,1738,3632,4385,4001,3397,3296
Majestic Heli Ski,null,null,null,null,null,null,null,null,null
Moose Mountain (Alaska),64.94056,-147.99056,null,1062,1842,1786,1583,1297,1386
Mount Eyak,60.55000,-145.75000,849,1060,2148,2314,2039,1962,1914
Skiland,65.04889,-147.40917,1027,969,2163,2367,2593,2764,2907
Alpine Meadows (ski resort),39.164,-120.239,1802,4823,11084,10164,9797,11302,10573
Alta Sierra Ski Resort,null,null,null,null,null,null,null,null,null
Badger Pass Ski Area,37.66194,-119.6636,800,6760,17460,13731,12769,16027,10262
Bear Mountain (ski area),34.2267,-116.8602,1665,14085,31303,28403,28389,36452,25690
Bear Valley (resort),38.492,-120.044,1900,6258,14403,12084,10802,12577,16181
Boreal Mountain Resort,39.3317,-120.3511,500,3495,7449,9433,8749,8868,7109
Buckhorn Ski Club,34.34457,-117.91437,700,961,2088,2191,1588,2153,1973
China Peak,37.2297,-119.1583,1679,3683,8280,8996,7986,7598,7286
Dodge Ridge Ski Area,38.1896,-119.9564,1600,3182,9072,10855,15946,17973,9340
Donner Ski Ranch,39.3183139,-120.3300194,750,2313,5394,6890,5364,5379,4654
Granlibakken,39.1556,-120.1551,null,1751,3661,3749,3505,3058,3188
Heavenly Mountain Resort,38.9353,-119.9400,3812,15354,34424,40695,40513,44631,35132
Homewood Mountain Resort,39.0827,-120.1755,503,2564,6684,6019,4579,6640,6061
June Mountain ski area,37.7683,-119.0906,2545,2117,4934,6068,6142,7597,8488
Kirkwood Mountain Resort,38.684,-120.068,2000,8266,16488,17045,15517,20070,17358
Mammoth Mountain Ski Area,37.63056,-119.03250,3100,25751,56112,65779,62641,63730,52366
Mount Baldy Ski Lifts,34.27,-117.62,2100,6016,14147,16638,12200,14970,10560
Mount Shasta Ski Park,null,null,null,4637,10075,9082,10394,13084,8342
Mount Waterman,34.349722,-117.928611,1030,2951,10319,7562,5796,10385,9496
Mountain High,34.37472,-117.69323,1600,7371,18249,18669,23374,21011,16025
Northstar California,39.264,-120.125,2280,6755,14245,14629,14683,17536,17472
Sierra-at-Tahoe,38.8002,-120.0806,2212,6218,16139,17615,28770,35608,19341
Snow Summit,34.2286,-116.8911,1209,6999,14792,14688,14692,16091,11888
Snow Valley Mountain Resort,34.223375,-117.037423,1041,3211,6944,7881,9171,12900,8823
Soda Springs Mountain Resort,null,null,null,null,null,null,null,null,null
Squaw Valley Ski Resort,39.196,-120.235,2850,42398,147814,159679,169879,141292,116804
Sugar Bowl Ski Resort,39.30444,-120.33583,1500,8145,17312,18658,17255,21610,16501
Tahoe Donner Downhill,39.3549,-120.2590,650,630,1362,1698,1704,1744,1606
Diamond Peak (ski area),39.254,-119.924,1840,2203,5452,5720,4762,5588,4935
Lee Canyon (Ski and Snowboard Resort),36.301638,-115.680759,2779,null,1427,6824,11592,12694,6702
Mount Rose Ski Tahoe,39.32917,-119.88583,1440,3745,8390,10112,9555,8111,5404
Sky Tavern Ski Area,null,null,null,null,null,null,null,null,null
Elko Snobowl Ski and Bike Park,null,null,null,null,null,null,null,null,null
Anthony Lakes (ski area),44.9637,-118.2348,900,1524,3410,3276,3502,3179,3770
Cooper Spur ski area,45.41228,-121.60501,350,1505,3284,3158,2512,2422,3308
Ferguson Ridge Ski Area,45.28209,-117.11285,640,517,1161,1380,1331,1429,1708
Hoodoo (ski area),44.409,-121.872,1035,2948,8148,8175,6902,6345,6586
Mount Ashland Ski Area,42.08333,-122.71667,1150,3135,5216,4989,4707,4133,4683
Mount Bachelor ski area,44.003,-121.677,3365,10694,18444,18571,21176,19509,17885
Mount Hood Meadows,45.32889,-121.66250,2777,5256,12932,15397,21843,26907,17376
Mount Hood Skibowl,45.30189,-121.773212,1527,2648,8707,12401,20855,21444,14370
Spout Springs Ski Area,45.7550,-118.0543,530,1238,2533,2898,2476,2533,3679
Summit Ski Area,45.303000,-121.7472000,null,1699,3291,2902,2836,3233,3479
Timberline Lodge ski area,45.33,-121.71,3690,7283,15356,14347,13815,14270,14745
Warner Canyon,42.23749,-120.29583,732,1073,1949,2462,1908,1987,2300
Willamette Pass Resort,43.60,-122.036,1563,1649,3805,3596,3615,4221,3954
49 Degrees North Ski Area,48.302,-117.612,1851,1525,3772,3874,3929,5065,6136
Badger Mountain Ski Area,47.61273,-120.12978,325,1277,1888,1556,1319,1336,1429
Crystal Mountain (Washington),46.93,-121.48,3100,11712,22867,23445,21195,20720,18631
Echo Valley Ski Area,47.93583,-120.05611,900,895,1610,1605,1441,1588,2098
Hurricane Ridge Ski and Snowboard Area,47.971,-123.493,700,1821,3180,2896,2643,3087,3143
Leavenworth Ski Hill,47.61427,-120.67027,null,1056,2140,3620,3826,3477,2788
Loup Loup Ski Bowl,48.39472,-119.91278,1240,1512,2423,2490,2264,2538,2754
Meany Lodge,47.28028,-121.32056,400,1101,2068,2461,2140,2076,3466
Mission Ridge Ski Area,47.292,-120.399,2250,2358,5044,4952,4405,4614,7181
Mt. Baker Ski Area,48.862,-121.654,1589,11961,20454,19306,24514,27250,21599
Mount Spokane Ski and Snowboard Park,47.922,-117.097,1489,1320,3295,2943,2976,3122,2962
Sahalie Ski Club,null,null,null,null,null,null,null,null,null
Sitzmark Lifts,null,null,null,null,null,null,null,null,null
Ski Bluewood,46.082,-117.851,1125,null,null,2272,2772,3008,2958
Stevens Pass Ski Area,47.74472,-121.08889,1784,4916,9767,10375,11784,11391,11689
The Summit at Snoqualmie,47.424,-121.416,2810,5629,11277,11423,13453,15679,16379
Alpental,47.44306,-121.42944,null,2794,6909,8219,8727,6836,5629
White Pass Ski Area,46.638,-121.391,2000,2368,5820,6948,8402,8263,7230
