name,lat,lng,vert,viewcount2020,viewcount2019,viewcount2018,viewcount2017,viewcount2016,viewcount2015
Stratton Mountain Resort,43.11417,-72.90667,2003,4929,12584,14775,15375,16252,13950
Sugarbush Resort,44.13722,-72.90667,2600,7495,17455,21551,21994,21957,20574
Suicide Six,43.66389,-72.54444,650,3727,8398,8773,9687,8682,8003
Wisp Ski Resort,39.55806,-79.36306,700,6412,15625,15396,26395,29157,17038
Big Snow American Dream,40.81111,-74.07000,null,null,null,null,null,7861,41026
Campgaw Mountain,41.0542633,-74.1993123,null,2639,5797,5798,5135,4796,5120
Hidden Valley (New Jersey),41.1856000,-74.4806000,620,2354,5603,5248,4539,3899,4476
Mountain Creek,41.181,-74.513,317,10255,25064,29962,31070,26094,38866
Beartown Ski Area,null,null,null,null,null,null,null,null,null
Belleayre Mountain,42.1422139,74.510778,1404,2391,5573,6886,7459,8985,9937
Big Tupper Ski Area,null,null,null,null,null,null,null,null,null
Brantling Ski Slopes,null,null,null,null,null,null,null,null,null
Bristol Mountain Ski Resort,42.745,-77.404444,1150,3678,7930,8718,7945,7631,8819
Buffalo Ski Club,null,null,null,null,null,null,null,null,null
Catamount Ski Area,42.171457,-73.477764,1000,2033,4636,7327,6704,5912,7256
Dry Hill Ski Area,null,null,null,null,null,null,null,null,null
Gore Mountain (ski resort),43.67222,-74.00694,2602,4162,9701,13111,12346,13017,14464
Greek Peak Mountain Resort,42.50500,-76.14722,1052,521,1016,979,1160,852,582
Hickory Ski Center,null,null,null,null,null,null,null,null,null
Holiday Valley (ski resort),42.26250,-78.66806,750,4952,10807,10826,10753,11258,11440
Holiday Mountain Ski & Fun,null,null,null,null,null,null,null,null,null
Holimont,null,null,null,null,null,null,null,null,null
Hunter Mountain (ski area),42.200278,-74.230278,1600,6521,16493,21737,22341,16746,15134
Kissing Bridge,null,null,null,null,null,null,null,null,null
Labrador Mountain,null,null,null,null,null,null,null,null,null
Mount Peter Ski Area,null,null,null,null,null,null,null,null,null
McCauley Mountain (New York),43.6925676,-74.9612837,null,777,1361,1353,1538,1632,1981
"Oak Mountain (Hamilton County, New York)",null,null,null,null,null,null,null,null,null
Peek'n Peak,42.06250,-79.73667,400,1733,3875,5218,4842,4637,4892
Plattekill Mountain,42.290251,-74.653678,1100,232,1935,3321,3610,3716,3544
Royal Mountain,null,null,null,null,null,null,null,null,null
Song Mountain Resort,null,null,null,null,null,null,null,null,null
Snow Ridge Ski Resort,null,null,null,null,null,null,null,null,null
Swain (Ski Area),null,null,null,null,null,null,null,null,null
Sugar Hill (Ski Area),null,null,null,null,null,null,null,null,null
Thunder Ridge Ski Area,41.50722,-73.58111,403,1310,3953,7017,7200,5467,5102
Titus Mountain,44.76333,-74.23528,null,1302,3187,3995,4577,4305,3273
Toggenburg Mountain,null,null,null,null,null,null,null,null,null
West Mountain (ski area),43.28556,-73.72833,1010,1184,2992,3958,2859,3009,3690
Willard Mountain,null,null,null,null,null,null,null,null,null
Whiteface Mountain,44.36583,-73.90278,3166,32089,71361,63810,68230,72645,58772
Windham Mountain,42.29167,-74.25944,1600,4057,7756,9024,8507,7965,8991
Woods Valley Ski Resort,null,null,null,null,null,null,null,null,null
Bear Creek Ski and Recreation Area,40.47611,-75.62583,510,2699,6442,6723,6680,8664,5792
Blue Knob All Seasons Resort,null,null,null,null,null,null,null,null,null
Blue Mountain Resort,40.82222,-75.51333,1082,5547,12699,13260,11500,2853,2663
Boyce Park,40.46556,-79.74528,null,2135,4851,5126,4450,4987,2979
Camelback Mountain Resort,41.05139,-75.35528,800,1860,3794,4014,3083,2592,2530
Eagle Rock Resort,null,null,null,null,null,null,null,null,null
Elk Mountain Ski Area,41.721,-75.559,925,3228,8143,8898,8841,7856,7555
Hidden Valley Resort (Pennsylvania),40.058042,-79.258277,470,437,1034,671,610,667,1031
Jack Frost Ski Resort,41.111,-75.652,null,2138,5711,7041,7630,8980,8230
Laurel Mountain Ski Resort,null,null,800,2178,6935,5351,4349,5403,5044
Liberty Mountain Resort,39.763500,-77.37500,620,3581,12631,14306,16862,18741,12614
Mount Pleasant of Edinboro,41.85222,-80.07389,350,538,1011,466,402,469,753
Seven Springs Mountain Resort,40.02306,-79.29278,754,10910,24842,28844,32781,35751,31834
Shawnee Mountain Ski Area,41.04083,-75.08333,700,2033,5498,6395,12782,17518,11543
Ski Big Bear,41.52333,-75.02500,null,966,2560,3329,3320,3189,2612
Ski Denton,null,null,null,null,null,null,null,null,null
Roundtop Mountain Resort,40.108,-76.926,580,null,1181,1071,1079,1133,904
Spring Mountain District AVA,null,null,null,235,538,844,1247,1704,1240
Ski Sawmill,null,null,null,null,null,null,null,null,null
Montage Mountain Ski Resort,41.3533,-75.6592,1000,3364,8876,9983,10058,10196,9226
Tussey Mountain Ski Area,40.7682,-77.7520,500,908,2246,3027,3012,2580,2047
Whitetail Ski Resort,39.74167,-77.93278,935,2890,10295,13604,19086,19928,19522
Cloudmont Ski & Golf Resort,null,null,null,null,null,null,null,null,null
Appalachian Ski Mountain,36.174,-81.662,365,2534,5619,5100,4561,4609,5140
Cataloochee Ski Area,35.563,-83.090,740,1985,5632,5214,5453,4644,4812
Sapphire Valley,null,null,null,null,null,null,null,null,null
Ski Beech,null,null,null,null,null,null,null,null,null
Sugar Mountain (ski area),null,null,null,null,null,null,null,null,null
Wolf Ridge Ski Resort,35.955,-82.509,700,664,1184,880,727,890,905
Ober Gatlinburg,35.70306,-83.55778,600,9661,27126,20390,19757,18596,15392
Mount Aggie Ski Slope,null,null,null,null,null,null,null,null,null
Bryce Resort,38.81750,-78.76583,500,null,1522,3050,3870,3414,4059
Massanutten Mountain,38.643028,-78.612028,null,9906,18689,18284,17147,16647,18304
The Omni Homestead Resort,37.9954722,-79.8296444,null,4516,8597,8048,6559,5843,5594
Wintergreen Resort,37.93000,-78.94167,1003,7130,16261,23303,25770,15042,15067
Canaan Valley Resort State Park,39.02361,-79.46583,850,3433,8461,12909,12610,11895,10713
Oglebay Resort and conference Center,null,null,null,null,null,null,null,null,null
Snowshoe Mountain,38.40889,-79.99472,1500,11710,26183,29970,30353,31986,31665
